Brand Name,Category Name,City,Customer,Order Date,Order Id,Product Name,Sales Rep,State,Store Name,Region/Regions,Revenue,Total Units
Pure Cycles,Cruisers Bicycles,Bellmore,Laureen Paul,04-01-2016,7,Pure Cycles Vine 8-Speed - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$858,2
Surly,Mountain Bikes,Bellmore,Laureen Paul,04-01-2016,7,Surly Wednesday Frameset - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,000",1
Electra,Children Bicycles,Saratoga Springs,Leslie Higgins,04-01-2016,8,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$270,1
Electra,Cruisers Bicycles,Saratoga Springs,Leslie Higgins,04-01-2016,8,Electra Townie Original 7D EQ - Women's - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,200",2
Trek,Mountain Bikes,San Carlos,Neil Mccall,05-01-2016,9,Trek Slash 8 27.5 - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$8,000",2
Electra,Cruisers Bicycles,Yonkers,Alane Munoz,05-01-2016,10,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$270,1
Electra,Children Bicycles,Auburn,Tarra Guerrero,05-01-2016,11,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$540,2
Electra,Cruisers Bicycles,Auburn,Tarra Guerrero,05-01-2016,11,Electra Townie Original 7D EQ - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,200",2
Trek,Mountain Bikes,Auburn,Tarra Guerrero,05-01-2016,11,Trek Remedy 29 Carbon Frameset - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,800",1
Surly,Cyclocross Bicycles,San Diego,Marvin Mullins,06-01-2016,12,Surly Straggler 650b - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$1,681",1
Trek,Mountain Bikes,San Diego,Marvin Mullins,06-01-2016,12,Trek Fuel EX 8 29 - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$5,800",2
Electra,Cruisers Bicycles,Niagara Falls,Patience Clayton,08-01-2016,13,Electra Cruiser 1 (24-Inch) - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$270,1
Electra,Cruisers Bicycles,Niagara Falls,Patience Clayton,08-01-2016,13,Electra Townie Original 7D EQ - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,200",2
Electra,Cruisers Bicycles,Niagara Falls,Patience Clayton,08-01-2016,13,Electra Townie Original 7D EQ - Women's - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,200",2
Pure Cycles,Cruisers Bicycles,Niagara Falls,Patience Clayton,08-01-2016,13,Pure Cycles Vine 8-Speed - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$858,2
Surly,Mountain Bikes,Torrance,Maribel William,09-01-2016,14,Surly Ice Cream Truck Frameset - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,$470,1
Electra,Children Bicycles,Carmel,Ellsworth Michael,09-01-2016,15,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$600,2
Electra,Cruisers Bicycles,Carmel,Ellsworth Michael,09-01-2016,15,Electra Townie Original 21D - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,100",2
Pure Cycles,Cruisers Bicycles,Carmel,Ellsworth Michael,09-01-2016,15,Pure Cycles Western 3-Speed - Women's - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$898,2
Trek,Mountain Bikes,Carmel,Ellsworth Michael,09-01-2016,15,Trek Remedy 29 Carbon Frameset - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,800",1
Electra,Children Bicycles,Banning,Lea Key,12-01-2016,16,Electra Cruiser 1 (24-Inch) - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,$270,1
Electra,Cruisers Bicycles,Banning,Lea Key,12-01-2016,16,Electra Cruiser 1 (24-Inch) - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,$540,2
Electra,Cruisers Bicycles,Banning,Lea Key,12-01-2016,16,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Genna Serrano,CA,Santa Cruz Bikes,Region,$270,1
Trek,Mountain Bikes,Banning,Lea Key,12-01-2016,16,Trek Remedy 29 Carbon Frameset - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,800",1
Electra,Children Bicycles,Pomona,Sindy Anderson,12-01-2016,17,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Genna Serrano,CA,Santa Cruz Bikes,Region,$300,1
Electra,Cruisers Bicycles,Pomona,Sindy Anderson,12-01-2016,17,Electra Townie Original 7D EQ - Women's - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,200",2
Heller,Mountain Bikes,Pomona,Sindy Anderson,12-01-2016,17,Heller Shagamaw Frame - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,321",1
Trek,Mountain Bikes,Pomona,Sindy Anderson,12-01-2016,17,Trek Remedy 29 Carbon Frameset - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,800",1
Electra,Children Bicycles,Coachella,Lanita Burton,14-01-2016,18,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Genna Serrano,CA,Santa Cruz Bikes,Region,$270,1
Electra,Comfort Bicycles,Coachella,Lanita Burton,14-01-2016,18,Electra Townie Original 7D - 2015/2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,000",2
Ritchey,Mountain Bikes,Coachella,Lanita Burton,14-01-2016,18,Ritchey Timberwolf Frameset - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,500",2
Trek,Electric Bikes,Coachella,Lanita Burton,14-01-2016,18,Trek Conduit+ - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$6,000",2
Trek,Mountain Bikes,Coachella,Lanita Burton,14-01-2016,18,Trek Slash 8 27.5 - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$4,000",1
Surly,Cyclocross Bicycles,Encino,Norine Huffman,14-01-2016,19,Surly Straggler - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$1,549",1
Trek,Electric Bikes,Encino,Norine Huffman,14-01-2016,19,Trek Conduit+ - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$6,000",2
Surly,Cyclocross Bicycles,Canyon Country,Randee Pitts,14-01-2016,20,Surly Straggler - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$3,098",2
Trek,Electric Bikes,Canyon Country,Randee Pitts,14-01-2016,20,Trek Conduit+ - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$3,000",1
Electra,Cruisers Bicycles,Mount Vernon,Neoma Daugherty,15-01-2016,21,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$270,1
Pure Cycles,Cruisers Bicycles,Mount Vernon,Neoma Daugherty,15-01-2016,21,Pure Cycles Vine 8-Speed - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$429,1
Surly,Cyclocross Bicycles,Mount Vernon,Neoma Daugherty,15-01-2016,21,Surly Straggler - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,549",1
Electra,Children Bicycles,Campbell,Tangela Hurley,16-01-2016,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,$270,1
Electra,Cruisers Bicycles,Campbell,Tangela Hurley,16-01-2016,22,Electra Moto 1 - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$1,060",2
Electra,Cruisers Bicycles,Santa Clara,Drucilla Gilliam,16-01-2016,23,Electra Cruiser 1 (24-Inch) - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,$270,1
Electra,Children Bicycles,Santa Clara,Drucilla Gilliam,16-01-2016,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,$600,2
Trek,Mountain Bikes,Santa Clara,Drucilla Gilliam,16-01-2016,23,Trek Fuel EX 8 29 - 2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,"$5,800",2
Pure Cycles,Cruisers Bicycles,Floral Park,Ashton Lott,18-01-2016,24,Pure Cycles Western 3-Speed - Women's - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$898,2
Surly,Mountain Bikes,Floral Park,Ashton Lott,18-01-2016,24,Surly Wednesday Frameset - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$2,000",2
Electra,Children Bicycles,Baldwin,Sam Lester,18-01-2016,25,Electra Cruiser 1 (24-Inch) - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$270,1
Electra,Children Bicycles,Baldwin,Sam Lester,18-01-2016,25,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$270,1
Electra,Cruisers Bicycles,Baldwin,Sam Lester,18-01-2016,25,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$270,1
Electra,Children Bicycles,Baldwin,Sam Lester,18-01-2016,25,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$600,2
Surly,Cyclocross Bicycles,Baldwin,Sam Lester,18-01-2016,25,Surly Straggler - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$3,098",2
Electra,Children Bicycles,Wappingers Falls,Jackeline Colon,18-01-2016,26,Electra Cruiser 1 (24-Inch) - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$540,2
Electra,Cruisers Bicycles,Wappingers Falls,Jackeline Colon,18-01-2016,26,Electra Townie Original 21D - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$550,1
Ritchey,Mountain Bikes,Wappingers Falls,Jackeline Colon,18-01-2016,26,Ritchey Timberwolf Frameset - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$750,1
Trek,Mountain Bikes,Wappingers Falls,Jackeline Colon,18-01-2016,26,Trek Slash 8 27.5 - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$4,000",1
Electra,Comfort Bicycles,Bronx,Pamala Henry,19-01-2016,27,Electra Townie Original 7D EQ - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,200",2
Heller,Mountain Bikes,Bronx,Pamala Henry,19-01-2016,27,Heller Shagamaw Frame - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,321",1
Pure Cycles,Cruisers Bicycles,Bronx,Pamala Henry,19-01-2016,27,Pure Cycles William 3-Speed - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$449,1
Trek,Mountain Bikes,Bronx,Pamala Henry,19-01-2016,27,Trek Remedy 29 Carbon Frameset - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,800",1
Electra,Cruisers Bicycles,Richmond Hill,Eleni Gordon,19-01-2016,28,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$540,2
Heller,Mountain Bikes,Richmond Hill,Eleni Gordon,19-01-2016,28,Heller Shagamaw Frame - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,321",1
Surly,Mountain Bikes,Richmond Hill,Eleni Gordon,19-01-2016,28,Surly Ice Cream Truck Frameset - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$470,1
Trek,Mountain Bikes,Richmond Hill,Eleni Gordon,19-01-2016,28,Trek Slash 8 27.5 - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$8,000",2
Electra,Children Bicycles,Orchard Park,Laureen Barry,20-01-2016,29,Electra Cruiser 1 (24-Inch) - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$540,2
Electra,Cruisers Bicycles,Orchard Park,Laureen Barry,20-01-2016,29,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$540,2
Electra,Comfort Bicycles,Orchard Park,Laureen Barry,20-01-2016,29,Electra Townie Original 21D - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,100",2
Surly,Mountain Bikes,Orchard Park,Laureen Barry,20-01-2016,29,Surly Ice Cream Truck Frameset - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$470,1
Trek,Mountain Bikes,Orchard Park,Laureen Barry,20-01-2016,29,Trek Remedy 29 Carbon Frameset - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,800",1
Electra,Comfort Bicycles,Merrick,Yvone Guerrero,20-01-2016,30,Electra Townie Original 7D EQ - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$600,1
Pure Cycles,Cruisers Bicycles,Merrick,Yvone Guerrero,20-01-2016,30,Pure Cycles Vine 8-Speed - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$429,1
Pure Cycles,Cruisers Bicycles,Merrick,Yvone Guerrero,20-01-2016,30,Pure Cycles William 3-Speed - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$449,1
Trek,Mountain Bikes,Merrick,Yvone Guerrero,20-01-2016,30,Trek Fuel EX 8 29 - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$2,900",1
Trek,Mountain Bikes,Merrick,Yvone Guerrero,20-01-2016,30,Trek Slash 8 27.5 - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$8,000",2
Surly,Cyclocross Bicycles,Harlingen,Edgar Quinn,20-01-2016,31,Surly Straggler 650b - 2016,Kali Vargas,TX,Rowlett Bikes,Region,"$3,362",2
Trek,Electric Bikes,Harlingen,Edgar Quinn,20-01-2016,31,Trek Conduit+ - 2016,Kali Vargas,TX,Rowlett Bikes,Region,"$6,000",2
Electra,Cruisers Bicycles,San Carlos,Kimbery Nieves,21-01-2016,32,Electra Townie Original 21D - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,100",2
Electra,Comfort Bicycles,San Carlos,Kimbery Nieves,21-01-2016,32,Electra Townie Original 7D - 2015/2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$1,000",2
Trek,Mountain Bikes,San Carlos,Kimbery Nieves,21-01-2016,32,Trek Remedy 29 Carbon Frameset - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$3,600",2
Electra,Children Bicycles,Selden,Verona O'neill,21-01-2016,33,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$600,2
Trek,Mountain Bikes,Selden,Verona O'neill,21-01-2016,33,Trek Slash 8 27.5 - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$4,000",1
Pure Cycles,Cruisers Bicycles,Buffalo,Sarai Mckee,22-01-2016,34,Pure Cycles Vine 8-Speed - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$858,2
Surly,Cyclocross Bicycles,Buffalo,Sarai Mckee,22-01-2016,34,Surly Straggler - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$3,098",2
Trek,Mountain Bikes,Buffalo,Sarai Mckee,22-01-2016,34,Trek Remedy 29 Carbon Frameset - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$3,600",2
Electra,Children Bicycles,West Hempstead,Neville Mcclain,22-01-2016,35,Electra Cruiser 1 (24-Inch) - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$540,2
Electra,Children Bicycles,West Hempstead,Neville Mcclain,22-01-2016,35,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$270,1
Electra,Cruisers Bicycles,West Hempstead,Neville Mcclain,22-01-2016,35,Electra Townie Original 7D EQ - Women's - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,200",2
Heller,Mountain Bikes,West Hempstead,Neville Mcclain,22-01-2016,35,Heller Shagamaw Frame - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,321",1
Pure Cycles,Cruisers Bicycles,West Hempstead,Neville Mcclain,22-01-2016,35,Pure Cycles Western 3-Speed - Women's - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$449,1
Heller,Mountain Bikes,West Islip,Shantel Gregory,23-01-2016,36,Heller Shagamaw Frame - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,321",1
Surly,Mountain Bikes,West Islip,Shantel Gregory,23-01-2016,36,Surly Wednesday Frameset - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$2,000",2
Trek,Electric Bikes,West Islip,Shantel Gregory,23-01-2016,36,Trek Conduit+ - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$3,000",1
Electra,Cruisers Bicycles,Woodside,Tomika Larson,25-01-2016,37,Electra Townie Original 7D EQ - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,200",2
Electra,Children Bicycles,Long Beach,Lashandra Turner,25-01-2016,38,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$300,1
Electra,Comfort Bicycles,Long Beach,Lashandra Turner,25-01-2016,38,Electra Townie Original 21D - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$550,1
Electra,Comfort Bicycles,Long Beach,Lashandra Turner,25-01-2016,38,Electra Townie Original 7D - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$500,1
Surly,Cyclocross Bicycles,Long Beach,Lashandra Turner,25-01-2016,38,Surly Straggler - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$3,098",2
Trek,Mountain Bikes,Long Beach,Lashandra Turner,25-01-2016,38,Trek Slash 8 27.5 - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$8,000",2
Electra,Children Bicycles,Saint Albans,Travis Whitley,25-01-2016,39,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$540,2
Electra,Cruisers Bicycles,Saint Albans,Travis Whitley,25-01-2016,39,Electra Moto 1 - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$530,1
Electra,Cruisers Bicycles,Saint Albans,Travis Whitley,25-01-2016,39,Electra Townie Original 7D EQ - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,200",2
Surly,Mountain Bikes,Saint Albans,Travis Whitley,25-01-2016,39,Surly Wednesday Frameset - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$2,000",2
Pure Cycles,Cruisers Bicycles,Coachella,Darren Witt,27-01-2016,40,Pure Cycles Vine 8-Speed - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,$429,1
Trek,Mountain Bikes,Coachella,Darren Witt,27-01-2016,40,Trek Remedy 29 Carbon Frameset - 2016,Genna Serrano,CA,Santa Cruz Bikes,Region,"$3,600",2
Electra,Comfort Bicycles,Ithaca,Ingeborg Ellison,27-01-2016,41,Electra Townie Original 7D EQ - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,200",2
Heller,Mountain Bikes,Ithaca,Ingeborg Ellison,27-01-2016,41,Heller Shagamaw Frame - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,"$1,321",1
Pure Cycles,Cruisers Bicycles,Ithaca,Ingeborg Ellison,27-01-2016,41,Pure Cycles William 3-Speed - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$898,2
Pure Cycles,Cruisers Bicycles,Rego Park,Corene Swanson,27-01-2016,42,Pure Cycles William 3-Speed - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$449,1
Electra,Cruisers Bicycles,Liverpool,Elana Miles,27-01-2016,43,Electra Cruiser 1 (24-Inch) - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$540,2
Electra,Cruisers Bicycles,Liverpool,Elana Miles,27-01-2016,43,Electra Townie Original 21D - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,100",2
Electra,Cruisers Bicycles,Hopewell Junction,Olympia Figueroa,28-01-2016,44,Electra Townie Original 7D EQ - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$600,1
Trek,Mountain Bikes,Hopewell Junction,Olympia Figueroa,28-01-2016,44,Trek Slash 8 27.5 - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$4,000",1
Electra,Children Bicycles,Huntington Station,Carissa Cross,28-01-2016,45,Electra Cruiser 1 (24-Inch) - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$540,2
Electra,Children Bicycles,Huntington Station,Carissa Cross,28-01-2016,45,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$270,1
Trek,Mountain Bikes,Huntington Station,Carissa Cross,28-01-2016,45,Trek Fuel EX 8 29 - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$5,800",2
Pure Cycles,Cruisers Bicycles,Central Islip,Eldridge Greer,29-01-2016,46,Pure Cycles Vine 8-Speed - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$429,1
Electra,Cruisers Bicycles,Ossining,Joshua Berg,29-01-2016,47,Electra Cruiser 1 (24-Inch) - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$270,1
Electra,Cruisers Bicycles,Ossining,Joshua Berg,29-01-2016,47,Electra Moto 1 - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$530,1
Electra,Comfort Bicycles,Ossining,Joshua Berg,29-01-2016,47,Electra Townie Original 7D - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,000",2
Surly,Mountain Bikes,Ossining,Joshua Berg,29-01-2016,47,Surly Ice Cream Truck Frameset - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$470,1
Electra,Cruisers Bicycles,Baldwinsville,Josephine Dale,30-01-2016,48,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Venita Daniel,NY,Baldwin Bikes,Region,$540,2
Heller,Mountain Bikes,Baldwinsville,Josephine Dale,30-01-2016,48,Heller Shagamaw Frame - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$2,642",2
Surly,Cyclocross Bicycles,Baldwinsville,Josephine Dale,30-01-2016,48,Surly Straggler 650b - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,681",1
Trek,Mountain Bikes,Baldwinsville,Josephine Dale,30-01-2016,48,Trek Fuel EX 8 29 - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$2,900",1
Electra,Cruisers Bicycles,Shirley,Taisha Vang,31-01-2016,49,Electra Cruiser 1 (24-Inch) - 2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$540,2
Electra,Cruisers Bicycles,Corpus Christi,Silas Tate,31-01-2016,50,Electra Cruiser 1 (24-Inch) - 2016,Kali Vargas,TX,Rowlett Bikes,Region,$540,2
Electra,Comfort Bicycles,Corpus Christi,Silas Tate,31-01-2016,50,Electra Townie Original 7D EQ - 2016,Kali Vargas,TX,Rowlett Bikes,Region,"$1,200",2
Surly,Mountain Bikes,Corpus Christi,Silas Tate,31-01-2016,50,Surly Wednesday Frameset - 2016,Kali Vargas,TX,Rowlett Bikes,Region,"$1,000",1
Electra,Cruisers Bicycles,Elmhurst,Jamaal Baker,01-02-2016,51,Electra Cruiser 1 (24-Inch) - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$270,1
Electra,Comfort Bicycles,Elmhurst,Jamaal Baker,01-02-2016,51,Electra Townie Original 7D EQ - 2016,Venita Daniel,NY,Baldwin Bikes,Region,"$1,200",2
Electra,Cruisers Bicycles,Elmhurst,Jamaal Baker,01-02-2016,51,Electra Townie Original 7D EQ - Women's - 2016,Venita Daniel,NY,Baldwin Bikes,Region,$600,1
Electra,Comfort Bicycles,Anaheim,Twana Arnold,03-02-2016,52,Electra Townie Original 7D - 2015/2016,Mireya Copeland,CA,Santa Cruz Bikes,Region,$500,1
Electra,Cruisers Bicycles,Plainview,Margit Osborn,03-02-2016,53,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Marcelene Boyer,NY,Baldwin Bikes,Region,$540,2
